noise_config,Hits@1,MRR,Macro Precision,Macro Recall,Macro F1,Micro Precision,Micro Recall,Micro F1,Accuracy,Golden Accuracy
clean,0.4289405684754522,0.5459297826028585,0.9950085272786784,0.5008613264427217,0.49921143420239056,0.9900172265288545,0.9900172265288545,0.9900172265288545,0.9900172265288545,0.0017226528854435831
white_snr+30,0.012919896640826873,0.054988326316637706,0.49499997128895373,0.49999709991096725,0.4974859871738456,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.9899942578237152,0.0
white_snr+20,0.012345679012345678,0.054484751681365975,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
white_snr+10,0.012058570198105082,0.055221919714271206,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+5,0.01435544071202986,0.055996225382058666,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr+0,0.012058570198105082,0.05446000318380624,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr-5,0.008613264427217916,0.04992384781279446,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
white_snr-10,0.008326155612977318,0.05098042275023983,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+30,0.01320700545506747,0.05459712790354169,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+20,0.012345679012345678,0.05361375729911904,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
ambient_snr+10,0.012058570198105082,0.053234511910892,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+5,0.010623026126902095,0.05246719051584149,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr+0,0.012919896640826873,0.055565082624377225,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr-5,0.011771461383864484,0.053380883727820495,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
ambient_snr-10,0.0103359173126615,0.051627642225342066,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr+10,0.01320700545506747,0.0555797344357679,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr+5,0.01435544071202986,0.05628582941192993,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr+0,0.014642549526270457,0.05645813615957071,0.4949999856445181,0.49999854995548365,0.49748671218093365,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.9899971289118576,0.0
reverb_drr-5,0.01435544071202986,0.056281149789005884,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-10,0.014642549526270457,0.05663873654559828,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-15,0.01435544071202986,0.056423670720765484,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
reverb_drr-20,0.011484352569623888,0.05445673356473882,0.495,0.5,0.49748743718592964,0.99,0.99,0.99,0.99,0.0
